,sentence1,sentence2,genre,English_label,translation1,translation2,annotator 1 labels,annotator 2 labels
13,He considered sending San'doro to find out what had happened but the air shattered to the east and a body and horse fell hard to the crunch of bone on stone.,San'doro almost got sent to find out what happened in the village,fiction,neutral,"הוא שקל לשלוח את סנדורו לברר מה קרה, אבל האוויר התנפץ במזרח וגוף וסוס נפלו חזק ברעש של ריסוק עצמות על אבן.",סאנדורו כמעט נשלח לברר מה קרה בכפר,Entailment,Neutral
14,"Pace and stamina.""",Don't worry about time.,fiction,contradiction,"קצב וסיבולת.""",אל תדאג לגבי הזמן.,Neutral,Neutral
15,"The black    6  He worked in the dust of the smaller corral, with Croaker's help, adapting his knowledge of eastern gentling the way he had mentally planned it during the days since he had accepted the job.",He had gained his knowledge from working with his father and brother.,fiction,neutral,"השחור    6  הוא עבד באבק של הדיר הקטן יותר, בעזרת קרוקר, תוך שהוא מתאים את הידע שלו בפיוס מזרחי כפי שתכנן בראשו במהלך הימים מאז שקיבל את העבודה.",הוא רכש את הידע שלו מעבודה עם אביו ואחיו.,Contradiction,Neutral
16,But Drew dared ask no questions.,Drew did not ask any questions.,fiction,entailment,אבל דרו לא העז לשאול שאלות.,דרו לא שאל שום שאלות.,Entailment,Entailment
17,"Ankle all right, eh?""",Someone was asked if their knee was alright.,fiction,contradiction,"הקרסול בסדר, הא?""",מישהו נשאל אם הברך שלו בסדר.,Entailment,Contradiction
18,"He meant that he didn't know about it, Dave gathered.",Dave assumed he meant he had not known about it.,fiction,entailment,"הוא התכוון שהוא לא ידע על כך, דייב הבין.",דייב הניח שהוא התכוון שהוא לא ידע על כך.,Entailment,Entailment
19,At last we heard the doctors descending the stairs.,We were glad to hear the doctors descending.,fiction,neutral,סוף סוף שמענו את הרופאים יורדים במדרגות.,שמחנו לשמוע את הרופאים יורדים.,Entailment,Neutral
20,"A little reluctantly, Greuze gave me permission to go and poke around.",Greuze told me I couldn't look around.,fiction,contradiction,"בחוסר רצון מסוים, גרוז הרשה לי ללכת לרחרח",גרוז אמר לי שאני לא יכול לבדוק,Contradiction,Contradiction
21,"Had it not been for two things, I might have dreamed the whole thing.",I didn't know if it was real or fiction.,fiction,contradiction,"אלמלא שני דברים, ייתכן שחלמתי את כל העניין",לא ידעתי אם זה אמיתי או בדיוני.,Contradiction,Contradiction
22,"What madness!""Now Bartolomé's face expressed shock.",Bartolomé was shocked and his face expressed it.,fiction,entailment,"איזה שיגעון!"" עכשיו פניו של ברתולומה הביעו הלם.",ברטולומה היה המום ופניו הביעו זאת.,Entailment,Neutral
23,The sun will see to that.,The sun will make something happen.,fiction,entailment,השמש תדאג לזה.,השמש תגרום למשהו לקרות.,Entailment,Entailment
24,"Franklin did nothing for a while, apparently ignorant of my presence.",Franklin knew what I was doing.,fiction,contradiction,"פרנקלין לא עשה כלום זמן מה, כנראה בלי להיות מודע לנוכחותי.",פרנקלין ידע מה אני עושה.,Contradiction,Contradiction
25,"If they come, they will be cut to pieces,"" said Oden.",Oden was confident that we would defeat them if they came near us.,fiction,neutral,"אם הם יבואו, הם ייחתכו לחתיכות,"" אמר אודן.",אודן היה בטוח שנביס אותם אם הם יתקרבו אלינו.,Entailment,Entailment
26,"That all the welcoming would be on the other side, breaking right through the barrier he had been building for years?",None of the overtures would do anything to the barrier he had built.,fiction,contradiction,"שכל קבלות הפנים יהיו בצד השני, מה שינפץ את כל המחסומים שהוא בנה לאורך השנים?",אף אחת מהפתיחות לא תעשה כלום למחסום שהוא בנה.,Contradiction,Contradiction
27,"She keeps the fatal letter.""",The fatal letter was not disposed of.,fiction,entailment,"היא שומרת את המכתב הקטלני.""",המכתב הקטלני לא הושלך.,Entailment,Entailment
28,"Good-bye, and good luck.",I wish you the best of luck when you leave.,fiction,entailment,"להתראות, ובהצלחה.",אני מאחל לך את כל ההצלחה שבעולם כשאתה עוזב.,Entailment,Entailment
29,"They stepped from ornate carriages on soft feet and gazed at the golden idols, silk robes, and the finest slaves in the land.",As they exited the carriage they saw an array of beings including slaves.,fiction,entailment,"הם ירדו מכרכרות מעוטרות ברגליים רכות והביטו בפסלים המוזהבים, בגלימות המשי ובעבדים המשובחים ביותר שבארץ.",כשהם יצאו מהכרכרה הם ראו שורה של יצורים כולל עבדים.,Neutral,Neutral
30,These are the keys of the two rooms.,These keys are for the boats.,fiction,contradiction,אלה המפתחות של שני החדרים.,המפתחות האלה הם לסירות.,Contradiction,Neutral
31,Perhaps he should clear out even farther and head for California.,Maybe he should head for California to clear out even farther?,fiction,entailment,אולי הוא צריך להתרחק עוד יותר ולנסוע לקליפורניה.,",אולי הוא צריך לנסוע לקליפורניה כדי להתרחק עוד יותר?",Entailment,Entailment
32,"Whatever the material in the cloth, it had stood the sun's heat almost as well as he had.",The material in the cloth had a magic spell cast on it.,fiction,neutral,"מה שלא היה החומר שבבגד, הוא עמד בחום השמש כמעט כמוהו.",על החומר בבד הוטל כישוף.,Neutral,Neutral
33,What do you see in a town like that? asked Jon.,What are some of the aspects that attract you to that town?  asked Jon.,fiction,entailment,מה אתה רואה בעיירה כזאת? שאל ג'ון.,מהם חלק מההיבטים שמושכים אותך אל העיר הזו? שאל ג'ון.,Neutral,Neutral
34,"And who knows if these men will even come, said Jon.","Who knows if these warriors will arrive, said John.",fiction,neutral,"ומי יודע אם הגברים האלה בכלל יבואו, אמר ג'ון.","מי יודע אם הלוחמים האלה יגיעו, אמר ג'ון.",Neutral,Neutral
35,But it's all O.K.,But it's all good.,fiction,entailment,אבל הכל בסדר.,אבל הכל טוב.,Entailment,Entailment
36,They would use her as a conduit to speak across the land.,She'd be used as a conduit to speak across the land about the war.,fiction,neutral,הם השתמשו בה ככלי כדי לדבר ברחבי הארץ.,היא תשמש ככלי כדי לדבר ברחבי הארץ על המלחמה.,Neutral,Neutral
37,"No, this is just a story.","Yes, this is real life!",fiction,contradiction,"לא, זה רק סיפור.","כן, זה החיים האמיתיים!",Contradiction,Contradiction
38,"You don't know him!""",You aren't acquainted with him.,fiction,entailment,"אתה לא מכיר אותו!""",אין לך היכרות איתו,Entailment,Entailment
39,I took it and turned it over in a puzzled sort of way.,I had never seen anything like it before.,fiction,neutral,לקחתי אותו והפכתי אותו בידי בצורה מבולבלת כלשהי.,מעולם לא ראיתי דבר כזה.,Contradiction,Neutral
40,I think they were waiting for me to invent something.,They waited for me to invent something to help.,fiction,entailment,אני חושב שהם חיכו שאמציא משהו.,הם חיכו שאמציא משהו שיעזור.,Neutral,Neutral
41,"You ought to be used to it by now waitin', I mean.","You should be used to waiting by now, I mean.",fiction,entailment,"אתה אמור להיות כבר מורגל לזה עד עכשיו, לחכות אני מתכוון","אתה צריך להיות רגיל לחכות עד עכשיו, אני מתכוון.",Entailment,Entailment
42,The familiar rock walls that seemed so benign to him in his twelve years of trade along the trail now seemed to grasp at him and crush him.,He was a skilled climber.,fiction,neutral,קירות הסלע המוכרים שנראו לו כה שפירים במשך שנים עשר שנות מסחר לאורך השביל נראו כעת כאילו הם אוחזים בו ומועכים אותו.,הוא היה מטפס מיומן.,Entailment,Neutral
43,He threw the letter into the waste-paper basket.,He threw the letter away.,fiction,entailment,הוא זרק את המכתב לסל הניירות.,הוא השליך את המכתב.,Entailment,Entailment
44,"No, that's more or less all I'm going to offer you in return.'",That's all you're gonna get in exchange for the $5 bill.,fiction,neutral,"לא, זה פחות או יותר כל מה שאני הולך להציע לך בתמורה.'",זה כל מה שאתה הולך לקבל בתמורה לשטר של 5 דולר.,Neutral,Neutral
45,"This therapist gives counseling via Escape, because you know, I don't have the time to do it in person,' here Czarek paused waiting for a question which would suit him.",The therapist doesn't have time to counsel in person.,fiction,entailment,"המטפל הזה נותן ייעוץ דרך Escape, כי אתה יודע, אין לי זמן לעשות את זה פנים אל פנים,' כאן צ'רק עצר וחיכה לשאלה שתתאים לו.",למטפל אין זמן לייעץ באופן אישי.,Entailment,Neutral
46,Probably the idea came to her quite suddenly.,The idea was not immediately apparent to her.,fiction,contradiction,כנראה שהרעיון עלה לה די בפתאומיות.,הרעיון לא היה ברור לה מיד.,Entailment,Neutral
47,"He sat at night and gazed at the stars, considering whether his journey was heroic or folly.",He was never in doubt about his journey being a heroic one.,fiction,contradiction,"הוא ישב בלילה והביט בכוכבים, שוקל האם מסעו היה גבורה או שטות.",הוא מעולם לא הטיל ספק בכך שמסעו הוא גבורה.,Contradiction,Contradiction
48,"When he entered his mother's room, and saw her obviously poisoned, he jumped to the conclusion that Mademoiselle Cynthia knew something about the matter. ",His mother was clearly poisoned.,fiction,entailment,"כשהוא נכנס לחדר של אמו, וראה אותה מורעלת בבירור, הוא קפץ למסקנה שמדמואזל סינתיה יודעת משהו על העניין. ",אמו הורעלה בבירור.,Entailment,Entailment
49,He didn't even bother taking cover.,He decided it would be best to take cover.,fiction,contradiction,הוא אפילו לא טרח לתפוס מחסה.,הוא החליט שיהיה הכי טוב לתפוס מחסה.,Contradiction,Contradiction
50,There must be a peep-hole somewhere in the walls.,One of the walls must have a small crevice.,fiction,entailment,חייב להיות חור הצצה איפשהו בקירות.,באחד הקירות חייב להיות סדק קטן,Entailment,Entailment
51,"Let's drink to success."" She poured some cold dregs of tea into the two cups.",She poured tea grounds into two cups.,fiction,entailment,"בואו נשתה לחיי ההצלחה."" היא מזגה קצת גרגרי תה קרים לשני הספלים. ",היא מזגה גרגרי תה לשני ספלים.,Entailment,Entailment
52,I don't know.,I'm aware.,fiction,contradiction,אני לא יודע.,אני מודע לכך.,Contradiction,Contradiction
53,I do not know.,I have no knowledge.,fiction,entailment,אינני יודע.,אין לי ידע.,Entailment,Contradiction
54,"Adrin continued his monologue, describing the grizzly murders that took place in the deep of night in the brothel district.",The murderers had not been caught.,fiction,neutral,"אדרין המשיך במונולוג שלו, ותיאר את הרציחות המחרידות שהתרחשו בעיצומו של הלילה ברובע בתי הבושת.",הרוצחים לא נתפסו.,Neutral,Neutral
55,"If he did not, should he risk trying to make an ally of her? ",There was no danger in attempting to make her a friend.,fiction,contradiction,"אם לא, האם עליו להסתכן בניסיון להפוך אותה לבת בריתו? ",לא הייתה סכנה בניסיון להפוך אותה לחברה.,Contradiction,Contradiction
56,"You've been on the spot ”and the Yard doesn't want to make any mistakes, you know."" Poirot nodded gravely. ",You were the first to arrive and the Yard does not want to keep making these mistakes. Poirot nodded and adjusted his glasses.,fiction,neutral,"היית במקום ""והיארד לא רוצה לעשות שום טעויות, אתה יודע"". פוארו הנהן בראשו ברצינות.",אתה היית הראשון שהגיע והיארד לא רוצה להמשיך לעשות את הטעויות האלה. פוארו הנהן וסידר את משקפיו.,Neutral,Neutral
57,He said he was going home.,He said that he was never going to go home again.,fiction,contradiction,הוא אמר שהוא הולך הביתה.,הוא אמר שהוא לעולם לא ילך הביתה שוב.,Contradiction,Contradiction
58,How did this happen? Bozena asked reproachfully.,Bozena wanted to know how it happened?,fiction,entailment,איך זה קרה? שאלה בוז'נה בתוכחה.,בוז'נה רצתה לדעת איך זה קרה?,Entailment,Entailment
59,"Or we could use it ourselves, said Jon.",We told them it is better to give than receive.,fiction,contradiction,"או שאנחנו יכולים להשתמש בו בעצמנו, אמר ג'ון.",אמרנו להם שעדיף לתת מאשר לקבל.,Neutral,Neutral
60,Long enough for a gentleman who had once studied medicine to gratify a very natural interest and curiosity. Our eyes met.,A gentleman who in the past has educated himself in medicinal practices.,fiction,entailment,מספיק זמן לאדון שלמד פעם רפואה כדי לספק עניין וסקרנות טבעיים מאוד. עינינו נפגשו.,ג'נטלמן שבזמנו למד פרקטיקות רפואיות.,Neutral,Neutral
61,A wink's as good as a nod ”from you.,"From you, a wink is as good as a nod.",fiction,entailment,קריצה ממך היא כמו הנהון,"ממך, קריצה שווה להנהון.",Entailment,Entailment
62,Jon hated that smile but Adrin clearly hated it more and that worked for Jon.,Jon and Adrin both hated that smile.,fiction,entailment,ג'ון שנא את החיוך הזה אבל אדרין בבירור שנא אותו יותר וזה עבד לג'ון.,ג'ון ואדרין שנאו שניהם את החיוך הזה.,Entailment,Entailment
63,"His hand went to his holster, and Drew's fist came down on the Texan's wrist, hard.",Drew didn't want the Texan to shoot his friend.,fiction,neutral,"ידו נעה אל נרתיקו, ואגרופו של דרו ירד על פרק ידו של הטקסני, בחוזקה.",דרו לא רצה שהטקסני יירה בחברו.,Neutral,Neutral
64,"Ah, nothing.","Oh, not anything.",fiction,entailment,"אה,כלום.","אה, שום דבר.",Entailment,Entailment
65,"I know it is, White.",I have no idea.,fiction,contradiction,"אני יודע שכן, ווייט.",אין לי מושג.,Contradiction,Contradiction
66,Jon leaped behind the rock and called for San'doro.,Jon leaped under the dock and called to the turtle.,fiction,contradiction,ג'ון קפץ מאחורי הסלע וקרא לסנדורו.,ג'ון קפץ מתחת לרציף וקרא לצב.,Neutral,Neutral
67,And only now did he have time to relish his own excited pride and pleasure.,Now he had the time to enjoy his pride and pleasure.,fiction,entailment,ורק עכשיו היה לו זמן להתענג על גאוותו הנרגשת והנאתו.,עכשיו היה לו זמן ליהנות מגאוותו והנאתו.,Entailment,Entailment
68,The huge man's cry ceased when a lead ball from Adrin's pistol crashed through his skull.,The man was silent as the bullet entered his skull.,fiction,entailment,זעקתו של האיש הענק פסקה כאשר כדור עופרת מאקדחו של אדרין התרסק דרך גולגולתו.,האיש שתק כשהכדור חדר לגולגולתו.,Entailment,Entailment
69,"Quick, get out.","Take it is, stay another hour.",fiction,contradiction,"מהר, צא החוצה.","קח את זה, תישאר עוד שעה.",Contradiction,Contradiction
70,The Sticks roared in.,They were running behind schedule.,fiction,neutral,הסטיקס שאגו פנימה.,הם פיגרו בלוח הזמנים.,Neutral,Neutral
71,This was the buckskinned man who had whooped the train into town that morning.,This was a completely different man.,fiction,contradiction,זה היה האיש בעל עור האייל שהוביל את הרכבת לעיר הבוקר.,זה היה אדם אחר לגמרי.,Contradiction,Contradiction
72,"But for him, we should never have known of this will. ",We really shouldn't be aware of this.,fiction,entailment,"אבל בעיניו, לעולם לא היינו צריכים לדעת על הצוואה הזו. ",אנחנו באמת לא צריכים להיות מודעים לזה.,Neutral,Neutral
73,Maybe he sets up th' war shield an' does th' shoutin' back thar in front o' all them soldier boys.,There were no soldier boys.,fiction,contradiction,אולי הוא שם את מגן המלחמה וצועק שם מאחור מול כל חיילי הצעצוע האלה,לא היו חיילי צעצוע.,Contradiction,Contradiction
74,"It might have been either."" Hand-in-hand, the two girls hurried along.",The two girls didn't touch each other.,fiction,contradiction,"זה יכול היה להיות זה או זה."" יד ביד, שתי הנערות מיהרו הלאה.",שתי הנערות לא נגעו זו בזו.,Contradiction,Contradiction
75,He gave a last brush to flank and smoothed the saddle blanket.,He smoothed the saddle blanket after giving a last brush to flank.,fiction,entailment,הוא הבריש פעם אחרונה את הצד והחליק את שמיכת האוכף.,הוא החליק את שמיכת האוכף לאחר שנתן הברשה אחרונה לצד.,Entailment,Entailment
76,Then show it to me.,Then hide it from me.,fiction,contradiction,אז תראה לי את זה.,אז הסתר זאת ממני.,Contradiction,Contradiction
77,"When she was little, she had a blue LED installed in her right eye for no particular reason.",She had a light in her eye.,fiction,entailment,"כשהיתה קטנה, הותקנה לה נורית LED כחולה בעין ימין ללא סיבה מיוחדת.",הייתה לה נורה בעין.,Entailment,Entailment
78,"Jasie!' The moment she saw me, Derry smiled.",Derry had been eagerly awaiting my arrival.,fiction,neutral,"ג'ייסי!' ברגע שראתה אותי, דרי חייכה.",דרי חיכתה בקוצר רוח לבואי.,Neutral,Neutral
79,Look commanding.,Look like you are in control.,fiction,entailment,תיראה סמכותי.,תיראה כאילו אתה בשליטה.,Entailment,Entailment
80,"These evenings must have been great fun, said Poirot genially. ",All of the events are what make the evenings so much fun.,fiction,neutral,"הערבים האלה בטח היו כיפיים מאוד, אמר פוארו בחביבות.",כל האירועים הם מה שהופכים את הערבים לכיפיים כל כך.,Neutral,Neutral
81,Ca'daan's blood rushed.,Ca'daan was terrified.,fiction,neutral,דמו של קאדאן זרם בחוזקה.,קאדאן היה מבועת.,Neutral,Neutral
82,"You're right, Tommy, it is a bit of a poser.",Tommy was very good at psychoanalysis.,fiction,neutral,"אתה צודק, טומי, זה קצת מלא בפוזה.",טומי היה טוב מאוד בפסיכואנליזה.,Neutral,Neutral
83,Let's have a look at his letter again. Mr. Carter handed it over.,Mr Carter kept his letter.,fiction,contradiction,בואו נסתכל שוב על המכתב שלו. מר קרטר העביר אותו.,מר קרטר שמר את מכתבו.,Entailment,Entailment
84,"Wearin' a crease 'longside his skull; maybe that scrambled up his thinkin' some.""",Wearing the crease next to his skull really sharpened his thinking.,fiction,contradiction,"לחבוש מגן לאורך הגולגולת שלו; אולי זה בלבל לו את המחשבה קצת.""",חבישת המגן ליד גולגולתו באמת חידדה את מחשבתו.,Contradiction,Contradiction
85,Hush! Two men came down the stairs and passed out through the entrance.,A couple men went down the stairs.,fiction,entailment,שקט! שני גברים ירדו במדרגות ויצאו החוצה דרך הכניסה.,זוג גברים ירד במדרגות.,Entailment,Entailment
86,"He is not clever, but it is hard to blind his eyes to facts… ."" Mr. Carter shut the book.",Mr. Carter enjoyed reading the book.,fiction,neutral,"הוא לא חכם, אבל קשה להסתיר עובדות מעיניו…."" מר קרטר סגר את הספר. ",מר קרטר נהנה לקרוא את הספר.,Neutral,Neutral
87,Tuppence had certainly not remained long in the neighbourhood of the Moat House.,Tuppence had no plans of staying long.,fiction,neutral,טאפנס בהחלט לא נשארה זמן רב בסביבת בית החפיר.,טאפנס לא תכננה להישאר זמן רב.,Neutral,Neutral
88,"Perhaps if a medium were present we might get some marvellous results.""",The medium would be of no help.,fiction,contradiction,"אולי אם מדיום היה נוכח היינו מקבלים תוצאות נפלאות.""",המדיום לא היה עוזר בשום צורה.,Contradiction,Contradiction
89,How had Sir James managed to track the girl?,"Sir James was up to no good, and people began to catch on that somehow, he had managed to track the girl, but nobody knew what methods he had used.",fiction,neutral,איך סר ג'יימס הצליח לעקוב אחרי הנערה?,"סר ג'יימס לא היה טוב, ואנשים החלו להבין שבאיזשהו אופן, הוא הצליח לעקוב אחרי הנערה, אבל אף אחד לא ידע באילו שיטות הוא השתמש.",Neutral,Neutral
90,I looked good.,I looked awful.,fiction,contradiction,נראיתי טוב.,נראיתי זוועה.,Contradiction,Contradiction
91,"Don't ask me about it, continued Miss Howard, ""because I shan't tell you. ",Miss Howard didn't know what to tell them.,fiction,neutral,"אל תשאל אותי על זה, המשיכה מיס הווארד, ""כי אני לא אגיד לך. ",הגברת הווארד לא ידעה מה לומר להם.,Contradiction,Neutral
92,There was no need to introduce it.,Introducing it was very import and and was a must.,fiction,contradiction,לא היה צורך להציג את זה.,הצגה של זה הייתה חשובה מאוד וזה היה חובה.,Contradiction,Contradiction
93,He and Susan left.,The two of them stayed.,fiction,contradiction,הוא וסוזן עזבו.,שניהם נשארו.,Contradiction,Contradiction
94,"Very much, sir, thank you.",The sir did something good.,fiction,neutral,"מאוד, אדוני, תודה לך.",האדון עשה משהו טוב.,Entailment,Entailment
95,"And for the hundredth time, I'll tell you that you're here.","I will tell you where you are, as I have done many times.",fiction,entailment,"ובפעם המאה, אני אגיד לך שאתה כאן. ","אני אומר לך איפה אתה נמצא, כפי שכבר עשיתי פעמים רבות.",Entailment,Entailment
96,"Is it a bargain?""",Is it a good deal?,fiction,entailment,"האם זו מציאה?""",האם זו עסקה טובה?,Entailment,Entailment
97,"Ser Perth was closer than the others, studying the marks he made.",Ser Perth refused to even look at the marks he had made.,fiction,contradiction,סר פרת' היה קרוב יותר מהאחרים כשהוא בחן את הסימנים שיצר.,סר פרת' סירב אפילו להסתכל על הסימנים שיצר.,Contradiction,Contradiction
98,"He had been bound by an honourable promise not to open any such letters if they did arrive, but to repair to the National Gallery, where his colleague would meet him at ten o'clock.",He opened up and read all the letters.,fiction,contradiction,"הוא היה כבול בהבטחה מכובדת לא לפתוח אף אחד מהמכתבים האלה אם הם יגיעו, אלא ללכת לגלריה הלאומית, שם עמיתו יפגוש אותו בעשר בבוקר.",הוא פתח וקרא את כל המכתבים.,Neutral,Neutral
99,"But south, that is different.",South is different.,fiction,entailment,"אבל דרום, זה שונה.",דרום זה שונה.,Entailment,Entailment
100,Ca'daan worked up the nerve to ask a long-haired axe wielder for the aid he sought.,Ca'daan was too nervous and decided not to ask the man with the axe for help.,fiction,contradiction,קאדאן אזר אומץ וביקש מגבר ארוך שיער שהחזיק גרזן את העזרה שחיפש.,קאדאן היה לחוץ מדי והחליט לא לבקש עזרה מהאיש עם הגרזן.,Contradiction,Contradiction
101,"This I told to Lincoln/Natalia, sitting in a quiet corner of another empty cafe.",I told Lincoln while we sat in the cafe.,fiction,entailment,"את זה סיפרתי ללינקולן/נטליה, שישבו בפינה שקטה של בית קפה ריק אחר.",סיפרתי ללינקולן בזמן שישבנו בבית הקפה.,Entailment,Entailment
102,"Have you ever known a chemist to send out a box like that, without his printed name?",The chemist sent the box out with his printed name on it.,fiction,contradiction,"האם אי פעם ידעת על רוקח ששלח קופסא כזו, בלי שמו המודפס?",הכימאי שלח את הקופסה עם שמו המודפס עליה.,Neutral,Neutral
103,Don't.' The word was sharp.,"""Don't!"" he screamed sharply.",fiction,neutral,אַל.' המילה היתה חדה.,"""אל!"" הוא צעק בחדות. ",Neutral,Neutral
104,She was wearing full body armour; the plain-clothes had disappeared.,She wore plain clothes.,fiction,contradiction,היא לבשה שריון גוף מלא; הבגדים הרגילים נעלמו.,היא לבשה בגדים רגילים.,Contradiction,Contradiction
105,What on earth induced you to do it?,You were right to do that.,fiction,contradiction,מה לעזאזל גרם לך לעשות זאת?,צדקת שעשית זאת.,Contradiction,Contradiction
106,One of his eyebrows seems permanently raised.,One eyebrow was permanently raised and the other was painted on.,fiction,neutral,אחת הגבות שלו נראית מורמת תמידית.,גבה אחת הורמה באופן קבוע והשנייה הייתה צבועה.,Neutral,Neutral
107,I was dragged bodily down a long flight of stairs.,I was dragged down the stairs by my hair.,fiction,neutral,גררו אותי פיזית במורד גרם מדרגות ארוך.,גררו אותי בשיערי במורד המדרגות,Neutral,Neutral
108,We've already prepared a construction camp for you.,A construction camp is awaiting you.,fiction,entailment,כבר הכנו עבורך מחנה בנייה.,מחנה בנייה מחכה לך.,Entailment,Entailment
109,He went on.,He stopped.,fiction,contradiction,הוא המשיך.,הוא עצר.,Contradiction,Contradiction
110,"It's dangerous to know too much!"" She leaned forward across the table.",She leaned back into her seat after her statement.,fiction,contradiction,"זה מסוכן לדעת יותר מדי!"" היא רכנה קדימה מעל לשולחן.",היא נשענה לאחור במושבה לאחר הצהרתה.,Contradiction,Neutral
111,Susan replied just when Jon thought she had not or could not hear him.,Jon was started by Susan's response.,fiction,neutral,סוזן ענתה בדיוק כשג'ון חשב שהיא לא שמעה או לא יכולה הייתה לשמוע אותו.,ג'ון נבהל מתגובתה של סוזן.,Neutral,Neutral
112,"Well, she's young. ",She is surely a baby who still relies on her mother.,fiction,neutral,"ובכן, היא צעירה. ",היא בטח תינוקת שעדיין תלויה באימהּ.,Neutral,Neutral
113,Jon shot them both and San'doro cut down the one who survived.,The two men had jumped out in a surprise attack.,fiction,neutral,ג'ון ירה בשניהם וסנדורו חיסל את זה ששרד.,שני הגברים קפצו החוצה בהתקפת פתע.,Neutral,Neutral
114,Anse took the third volume.,There is a third volume.,fiction,entailment,אנְס לקח את הכרך השלישי.,יש כרך שלישי.,Entailment,Entailment
115,He motioned to Hanson.,He used a hand gesture to communicate with hanson.,fiction,neutral,הוא סימן להנסון.,הוא השתמש בתנועת יד כדי לתקשר עם הנסון.,Entailment,Neutral
116,"Mitchell, what happened here? Muller turned to the man at his far right.",Muller and Mitchell don't know each other.,fiction,contradiction,"מיטשל, מה קרה כאן? מולר פנה אל האיש שעמד הרחק מימינו.",מולר ומיטשל לא מכירים אחד את השני.,Contradiction,Contradiction
117,It was one of the longest and blackest I have ever seen.,It was short and it was really white.,fiction,contradiction,זה היה אחד הארוכים והשחורים ביותר שראיתי אי פעם.,הוא היה קצר והוא היה ממש לבן.,Contradiction,Contradiction
118,Red recovered indignant breath.,Red breathed.,fiction,entailment,רד שאף אוויר בזעם.,רד נשם.,Entailment,Entailment
119,"Restful days seemed to be behind him, behind them all.",Their restful days were behind them.,fiction,entailment,"נראה שהימים השקטים מאחוריו, מאחורי כולם.",הימים השלווים שלהם נותרו מאחוריהם.,Entailment,Entailment
120,Drew was puzzled.,Drew was stumped at their behavior.,fiction,neutral,דרו היה מבולבל.,דרו היה המום מהתנהגותם.,Neutral,Neutral
121,dust like that.,There is dust similar to that.,fiction,entailment,אבק כזה.,יש אבק דומה לזה.,Entailment,Neutral
122,I guessed nothing!,I thought none of it!,fiction,entailment,לא ניחשתי כלום!,לא חשבתי שום דבר מהדברים האלה!,Entailment,Neutral
