,original_annotator_labels,genre,original_label,pairID,promptID,sentence1,translation1,sentence2,translation2,hebrew_label
42,['neutral'],fiction,neutral,144991n,144991,"You've been on the spot ”and the Yard doesn't want to make any mistakes, you know."" Poirot nodded gravely.","היית במקום ""והיארד לא רוצה לעשות שום טעויות, אתה יודע"". פוארו הנהן בראשו ברצינות.",You were the first to arrive and the Yard does not want to keep making these mistakes. Poirot nodded and adjusted his glasses.,אתה היית הראשון שהגיע והיארד לא רוצה להמשיך לעשות את הטעויות האלה. פוארו הנהן וסידר את משקפיו.,neutral
43,['contradiction'],fiction,contradiction,64167c,64167,He said he was going home.,הוא אמר שהוא הולך הביתה.,He said that he was never going to go home again.,הוא אמר שהוא לעולם לא ילך הביתה שוב.,contradiction
44,['entailment'],fiction,entailment,81956e,81956,How did this happen? Bozena asked reproachfully.,איך זה קרה? שאלה בוז'נה בתוכחה.,Bozena wanted to know how it happened?,בוז'נה רצתה לדעת איך זה קרה?,entailment
45,['contradiction'],fiction,contradiction,55496c,55496,"Or we could use it ourselves, said Jon.","או שאנחנו יכולים להשתמש בו בעצמנו, אמר ג'ון.",We told them it is better to give than receive.,אמרנו להם שעדיף לתת מאשר לקבל.,neutral
46,['entailment'],fiction,entailment,131572e,131572,Long enough for a gentleman who had once studied medicine to gratify a very natural interest and curiosity. Our eyes met.,מספיק זמן לאדון שלמד פעם רפואה כדי לספק עניין וסקרנות טבעיים מאוד. עינינו נפגשו.,A gentleman who in the past has educated himself in medicinal practices.,ג'נטלמן שבזמנו למד פרקטיקות רפואיות.,neutral
47,['entailment'],fiction,entailment,139508e,139508,A wink's as good as a nod ”from you.,קריצה ממך היא כמו הנהון,"From you, a wink is as good as a nod.","ממך, קריצה שווה להנהון.",entailment
48,['entailment'],fiction,entailment,28084e,28084,Jon hated that smile but Adrin clearly hated it more and that worked for Jon.,ג'ון שנא את החיוך הזה אבל אדרין בבירור שנא אותו יותר וזה עבד לג'ון.,Jon and Adrin both hated that smile.,ג'ון ואדרין שנאו שניהם את החיוך הזה.,entailment
49,['neutral'],fiction,neutral,129183n,129183,"His hand went to his holster, and Drew's fist came down on the Texan's wrist, hard.","ידו נעה אל נרתיקו, ואגרופו של דרו ירד על פרק ידו של הטקסני, בחוזקה.",Drew didn't want the Texan to shoot his friend.,דרו לא רצה שהטקסני יירה בחברו.,neutral
50,['entailment'],fiction,entailment,93656e,93656,"Ah, nothing.","אה,כלום.","Oh, not anything.","אה, שום דבר.",entailment
51,['contradiction'],fiction,contradiction,75576c,75576,"I know it is, White.","אני יודע שכן, ווייט.",I have no idea.,אין לי מושג.,contradiction
52,['contradiction'],fiction,contradiction,113146c,113146,Jon leaped behind the rock and called for San'doro.,ג'ון קפץ מאחורי הסלע וקרא לסנדורו.,Jon leaped under the dock and called to the turtle.,ג'ון קפץ מתחת לרציף וקרא לצב.,neutral
53,['entailment'],fiction,entailment,50150e,50150,And only now did he have time to relish his own excited pride and pleasure.,ורק עכשיו היה לו זמן להתענג על גאוותו הנרגשת והנאתו.,Now he had the time to enjoy his pride and pleasure.,עכשיו היה לו זמן ליהנות מגאוותו והנאתו.,entailment
54,['entailment'],fiction,entailment,142253e,142253,The huge man's cry ceased when a lead ball from Adrin's pistol crashed through his skull.,זעקתו של האיש הענק פסקה כאשר כדור עופרת מאקדחו של אדרין התרסק דרך גולגולתו.,The man was silent as the bullet entered his skull.,האיש שתק כשהכדור חדר לגולגולתו.,entailment
55,['contradiction'],fiction,contradiction,130251c,130251,"Quick, get out.","מהר, צא החוצה.","Take it is, stay another hour.","קח את זה, תישאר עוד שעה.",contradiction
56,['neutral'],fiction,neutral,10811n,10811,The Sticks roared in.,הסטיקס שאגו פנימה.,They were running behind schedule.,הם פיגרו בלוח הזמנים.,neutral
57,['contradiction'],fiction,contradiction,37652c,37652,This was the buckskinned man who had whooped the train into town that morning.,זה היה האיש בעל עור האייל שהוביל את הרכבת לעיר הבוקר.,This was a completely different man.,זה היה אדם אחר לגמרי.,contradiction
58,['entailment'],fiction,entailment,44234e,44234,"But for him, we should never have known of this will.","אבל בעיניו, לעולם לא היינו צריכים לדעת על הצוואה הזו. ",We really shouldn't be aware of this.,אנחנו באמת לא צריכים להיות מודעים לזה.,neutral
59,['contradiction'],fiction,contradiction,17124c,17124,Maybe he sets up th' war shield an' does th' shoutin' back thar in front o' all them soldier boys.,אולי הוא שם את מגן המלחמה וצועק שם מאחור מול כל חיילי הצעצוע האלה,There were no soldier boys.,לא היו חיילי צעצוע.,contradiction
60,['contradiction'],fiction,contradiction,136157c,136157,"It might have been either."" Hand-in-hand, the two girls hurried along.","זה יכול היה להיות זה או זה."" יד ביד, שתי הנערות מיהרו הלאה.",The two girls didn't touch each other.,שתי הנערות לא נגעו זו בזו.,contradiction
61,['entailment'],fiction,entailment,90087e,90087,He gave a last brush to flank and smoothed the saddle blanket.,הוא הבריש פעם אחרונה את הצד והחליק את שמיכת האוכף.,He smoothed the saddle blanket after giving a last brush to flank.,הוא החליק את שמיכת האוכף לאחר שנתן הברשה אחרונה לצד.,entailment
62,['contradiction'],fiction,contradiction,65986c,65986,Then show it to me.,אז תראה לי את זה.,Then hide it from me.,אז הסתר זאת ממני.,contradiction
63,['entailment'],fiction,entailment,41571e,41571,"When she was little, she had a blue LED installed in her right eye for no particular reason.","כשהיתה קטנה, הותקנה לה נורית LED כחולה בעין ימין ללא סיבה מיוחדת.",She had a light in her eye.,הייתה לה נורה בעין.,entailment
64,['neutral'],fiction,neutral,52244n,52244,"Jasie!' The moment she saw me, Derry smiled.","ג'ייסי!' ברגע שראתה אותי, דרי חייכה.",Derry had been eagerly awaiting my arrival.,דרי חיכתה בקוצר רוח לבואי.,neutral
65,['entailment'],fiction,entailment,36103e,36103,Look commanding.,תיראה סמכותי.,Look like you are in control.,תיראה כאילו אתה בשליטה.,entailment
66,['neutral'],fiction,neutral,135093n,135093,"These evenings must have been great fun, said Poirot genially.","הערבים האלה בטח היו כיפיים מאוד, אמר פוארו בחביבות.",All of the events are what make the evenings so much fun.,כל האירועים הם מה שהופכים את הערבים לכיפיים כל כך.,neutral
67,['neutral'],fiction,neutral,67506n,67506,Ca'daan's blood rushed.,דמו של קאדאן זרם בחוזקה.,Ca'daan was terrified.,קאדאן היה מבועת.,neutral
68,['neutral'],fiction,neutral,103332n,103332,"You're right, Tommy, it is a bit of a poser.","אתה צודק, טומי, זה קצת מלא בפוזה.",Tommy was very good at psychoanalysis.,טומי היה טוב מאוד בפסיכואנליזה.,neutral
69,['contradiction'],fiction,contradiction,133196c,133196,Let's have a look at his letter again. Mr. Carter handed it over.,בואו נסתכל שוב על המכתב שלו. מר קרטר העביר אותו.,Mr Carter kept his letter.,מר קרטר שמר את מכתבו.,entailment
70,['contradiction'],fiction,contradiction,115796c,115796,"Wearin' a crease 'longside his skull; maybe that scrambled up his thinkin' some.""","לחבוש מגן לאורך הגולגולת שלו; אולי זה בלבל לו את המחשבה קצת.""",Wearing the crease next to his skull really sharpened his thinking.,חבישת המגן ליד גולגולתו באמת חידדה את מחשבתו.,contradiction
71,['entailment'],fiction,entailment,41061e,41061,Hush! Two men came down the stairs and passed out through the entrance.,שקט! שני גברים ירדו במדרגות ויצאו החוצה דרך הכניסה.,A couple men went down the stairs.,זוג גברים ירד במדרגות.,entailment
72,['neutral'],fiction,neutral,4468n,4468,"He is not clever, but it is hard to blind his eyes to facts… ."" Mr. Carter shut the book.","הוא לא חכם, אבל קשה להסתיר עובדות מעיניו…."" מר קרטר סגר את הספר. ",Mr. Carter enjoyed reading the book.,מר קרטר נהנה לקרוא את הספר.,neutral
73,['neutral'],fiction,neutral,109296n,109296,Tuppence had certainly not remained long in the neighbourhood of the Moat House.,טאפנס בהחלט לא נשארה זמן רב בסביבת בית החפיר.,Tuppence had no plans of staying long.,טאפנס לא תכננה להישאר זמן רב.,neutral
74,['contradiction'],fiction,contradiction,109242c,109242,"Perhaps if a medium were present we might get some marvellous results.""","אולי אם מדיום היה נוכח היינו מקבלים תוצאות נפלאות.""",The medium would be of no help.,המדיום לא היה עוזר בשום צורה.,contradiction
75,['neutral'],fiction,neutral,142918n,142918,How had Sir James managed to track the girl?,איך סר ג'יימס הצליח לעקוב אחרי הנערה?,"Sir James was up to no good, and people began to catch on that somehow, he had managed to track the girl, but nobody knew what methods he had used.","סר ג'יימס לא היה טוב, ואנשים החלו להבין שבאיזשהו אופן, הוא הצליח לעקוב אחרי הנערה, אבל אף אחד לא ידע באילו שיטות הוא השתמש.",neutral
76,['contradiction'],fiction,contradiction,100716c,100716,I looked good.,נראיתי טוב.,I looked awful.,נראיתי זוועה.,contradiction
77,['contradiction'],fiction,contradiction,22700c,22700,There was no need to introduce it.,לא היה צורך להציג את זה.,Introducing it was very import and and was a must.,הצגה של זה הייתה חשובה מאוד וזה היה חובה.,contradiction
78,['contradiction'],fiction,contradiction,119299c,119299,He and Susan left.,הוא וסוזן עזבו.,The two of them stayed.,שניהם נשארו.,contradiction
79,['neutral'],fiction,neutral,7467n,7467,"Very much, sir, thank you.","מאוד, אדוני, תודה לך.",The sir did something good.,האדון עשה משהו טוב.,entailment
80,['entailment'],fiction,entailment,35645e,35645,"And for the hundredth time, I'll tell you that you're here.","ובפעם המאה, אני אגיד לך שאתה כאן. ","I will tell you where you are, as I have done many times.","אני אומר לך איפה אתה נמצא, כפי שכבר עשיתי פעמים רבות.",entailment
81,['entailment'],fiction,entailment,80773e,80773,"Is it a bargain?""","האם זו מציאה?""",Is it a good deal?,האם זו עסקה טובה?,entailment
82,['contradiction'],fiction,contradiction,77645c,77645,"Ser Perth was closer than the others, studying the marks he made.",סר פרת' היה קרוב יותר מהאחרים כשהוא בחן את הסימנים שיצר.,Ser Perth refused to even look at the marks he had made.,סר פרת' סירב אפילו להסתכל על הסימנים שיצר.,contradiction
83,['contradiction'],fiction,contradiction,91716c,91716,"He had been bound by an honourable promise not to open any such letters if they did arrive, but to repair to the National Gallery, where his colleague would meet him at ten o'clock.","הוא היה כבול בהבטחה מכובדת לא לפתוח אף אחד מהמכתבים האלה אם הם יגיעו, אלא ללכת לגלריה הלאומית, שם עמיתו יפגוש אותו בעשר בבוקר.",He opened up and read all the letters.,הוא פתח וקרא את כל המכתבים.,neutral
84,['entailment'],fiction,entailment,119563e,119563,"But south, that is different.","אבל דרום, זה שונה.",South is different.,דרום זה שונה.,entailment
85,['contradiction'],fiction,contradiction,126351c,126351,Ca'daan worked up the nerve to ask a long-haired axe wielder for the aid he sought.,קאדאן אזר אומץ וביקש מגבר ארוך שיער שהחזיק גרזן את העזרה שחיפש.,Ca'daan was too nervous and decided not to ask the man with the axe for help.,קאדאן היה לחוץ מדי והחליט לא לבקש עזרה מהאיש עם הגרזן.,contradiction
86,['entailment'],fiction,entailment,105813e,105813,"This I told to Lincoln/Natalia, sitting in a quiet corner of another empty cafe.","את זה סיפרתי ללינקולן/נטליה, שישבו בפינה שקטה של בית קפה ריק אחר.",I told Lincoln while we sat in the cafe.,סיפרתי ללינקולן בזמן שישבנו בבית הקפה.,entailment
87,['contradiction'],fiction,contradiction,78875c,78875,"Have you ever known a chemist to send out a box like that, without his printed name?","האם אי פעם ידעת על רוקח ששלח קופסא כזו, בלי שמו המודפס?",The chemist sent the box out with his printed name on it.,הכימאי שלח את הקופסה עם שמו המודפס עליה.,neutral
88,['neutral'],fiction,neutral,39776n,39776,Don't.' The word was sharp.,אַל.' המילה היתה חדה.,"""Don't!"" he screamed sharply.","""אל!"" הוא צעק בחדות. ",neutral
89,['contradiction'],fiction,contradiction,55781c,55781,She was wearing full body armour; the plain-clothes had disappeared.,היא לבשה שריון גוף מלא; הבגדים הרגילים נעלמו.,She wore plain clothes.,היא לבשה בגדים רגילים.,contradiction
90,['contradiction'],fiction,contradiction,107719c,107719,What on earth induced you to do it?,מה לעזאזל גרם לך לעשות זאת?,You were right to do that.,צדקת שעשית זאת.,contradiction
91,['neutral'],fiction,neutral,64306n,64306,One of his eyebrows seems permanently raised.,אחת הגבות שלו נראית מורמת תמידית.,One eyebrow was permanently raised and the other was painted on.,גבה אחת הורמה באופן קבוע והשנייה הייתה צבועה.,neutral
92,['neutral'],fiction,neutral,75011n,75011,I was dragged bodily down a long flight of stairs.,גררו אותי פיזית במורד גרם מדרגות ארוך.,I was dragged down the stairs by my hair.,גררו אותי בשיערי במורד המדרגות,neutral
93,['entailment'],fiction,entailment,118394e,118394,We've already prepared a construction camp for you.,כבר הכנו עבורך מחנה בנייה.,A construction camp is awaiting you.,מחנה בנייה מחכה לך.,entailment
94,['contradiction'],fiction,contradiction,14223c,14223,He went on.,הוא המשיך.,He stopped.,הוא עצר.,contradiction
95,['neutral'],fiction,neutral,79935n,79935,Susan replied just when Jon thought she had not or could not hear him.,סוזן ענתה בדיוק כשג'ון חשב שהיא לא שמעה או לא יכולה הייתה לשמוע אותו.,Jon was started by Susan's response.,ג'ון נבהל מתגובתה של סוזן.,neutral
96,['neutral'],fiction,neutral,119433n,119433,"Well, she's young.","ובכן, היא צעירה. ",She is surely a baby who still relies on her mother.,היא בטח תינוקת שעדיין תלויה באימהּ.,neutral
97,['neutral'],fiction,neutral,26194n,26194,Jon shot them both and San'doro cut down the one who survived.,ג'ון ירה בשניהם וסנדורו חיסל את זה ששרד.,The two men had jumped out in a surprise attack.,שני הגברים קפצו החוצה בהתקפת פתע.,neutral
98,['entailment'],fiction,entailment,74587e,74587,Anse took the third volume.,אנְס לקח את הכרך השלישי.,There is a third volume.,יש כרך שלישי.,entailment
99,['contradiction'],fiction,contradiction,91954c,91954,"Mitchell, what happened here? Muller turned to the man at his far right.","מיטשל, מה קרה כאן? מולר פנה אל האיש שעמד הרחק מימינו.",Muller and Mitchell don't know each other.,מולר ומיטשל לא מכירים אחד את השני.,contradiction
100,['contradiction'],fiction,contradiction,25213c,25213,It was one of the longest and blackest I have ever seen.,זה היה אחד הארוכים והשחורים ביותר שראיתי אי פעם.,It was short and it was really white.,הוא היה קצר והוא היה ממש לבן.,contradiction
101,['entailment'],fiction,entailment,28413e,28413,Red recovered indignant breath.,רד שאף אוויר בזעם.,Red breathed.,רד נשם.,entailment
102,['entailment'],fiction,entailment,136593e,136593,"Restful days seemed to be behind him, behind them all.","נראה שהימים השקטים מאחוריו, מאחורי כולם.",Their restful days were behind them.,הימים השלווים שלהם נותרו מאחוריהם.,entailment
103,['neutral'],fiction,neutral,111451n,111451,Drew was puzzled.,דרו היה מבולבל.,Drew was stumped at their behavior.,דרו היה המום מהתנהגותם.,neutral
104,['neutral'],fiction,neutral,15357n,15357,"He came to me for an Italian neck-tie styling workshop, along with a few other young actors, also handsome, but less famous.'","הוא בא אליי לסדנת עיצוב עניבות איטלקיות, יחד עם עוד כמה שחקנים צעירים, גם יפים, אבל פחות מפורסמים.'",Most actors came to this place to learn to tie their ties.,רוב השחקנים הגיעו למקום הזה כדי ללמוד לקשור את העניבות שלהם.,neutral
105,['entailment'],fiction,entailment,134790e,134790,"Very well, we must arrange a compromise.","טוב מאוד, עלינו ליצור פשרה.","Alright, then we must arrange a compromise.","בסדר, אז אנחנו צריכים להסדיר פשרה.",entailment
106,['entailment'],fiction,entailment,8210e,8210,Ca'daan saw the man's shadow in the red moonlight surveying the other sleeping members of the camp.,קאדאן ראה את צלו של האיש באור הירח האדום סוקר את שאר החברים הישנים במחנה.,The man looked at the people sleeping.,האיש הסתכל על האנשים הישנים.,entailment
107,['neutral'],fiction,neutral,51156n,51156,What to do with the real thing worried me no end.,השאלה מה לעשות עם הדבר האמיתי הדאיגה אותי מאוד.,I was worried about whether or not the thing would bite me.,דאגתי אם הדבר ינשך אותי או לא.,neutral
108,['entailment'],fiction,entailment,83242e,83242,Seems quite like a fairy tale. But Sir James was far too wary to be drawn.,נשמע ממש כמו אגדה. אבל סר ג'יימס היה זהיר מדי מכדי להיסחף.,It seemed like a fun story.,זה נשמע כמו סיפור מהנה.,entailment
109,['neutral'],fiction,neutral,94642n,94642,"""Excuse me, mademoiselle, one minute.""","""סליחה, מדמואזל, רגע אחד.""","Excuse me, lady, I need to get by you.","סליחה, גברת, אני צריך לעקוף אותך.",neutral
110,['entailment'],fiction,entailment,70256e,70256,These guys have got busy pretty quickly.,הבחורים האלה נהיו עסוקים די מהר.,These guys have suddenly a lot of work to do.,לבחורים האלה יש פתאום הרבה עבודה לעשות.,entailment
111,['neutral'],fiction,neutral,120805n,120805,He groped up and stared around the block.,הוא גישש מעלה והביט סביב הבלוק.,He looked around to see if anyone had survived.,הוא הביט סביבו כדי לראות אם מישהו שרד.,neutral
112,['neutral'],fiction,neutral,12681n,12681,At the top was the ragged curtain hiding the recess where Tommy had hidden that day.,למעלה היה הווילון הקרוע שהסתיר את הגומחה שבה טומי הסתתר באותו היום.,Tommy had hidden there all day.,טומי הסתתר שם כל היום.,neutral
113,['entailment'],fiction,entailment,99775e,99775,Jon worried for his friend until he saw San'doro's right dagger cutting deep open gashes in the man's torso.,ג'ון דאג לחברו עד שראה את הפגיון הימני של סנדורו חותך פצעים עמוקים ופתוחים בגופו של האיש.,Jon saw Son'doro's knife had stabbed the man.,ג'ון ראה שהסכין של סנדורו דקרה את האיש.,entailment
114,['neutral'],fiction,neutral,89251n,89251,"As though he read my thoughts, he nodded gently.","כאילו קרא את מחשבותיי, הוא הנהן בעדינות.",He nodded like he read my thoughts about the court case.,הוא הנהן כאילו קרא את מחשבותיי על תיק בית המשפט.,neutral
115,['neutral'],fiction,neutral,19923n,19923,Fena Dim had kept its protectors.,פנה דים שמרה על מגיניה.,They were worried that they would be abandoned.,הם היו מודאגים שיוותרו עליהם.,neutral
116,['contradiction'],fiction,contradiction,22988c,22988,I thought you were aware of that.,חשבתי שאתה מודע לזה.,I didn't think anyone knew about it.,לא חשבתי שמישהו יודע על זה.,contradiction
